麻雀	39084	22951	22936	37863	0.61	0.97	1.00
马蓉将起诉宋喆强奸	63534	18453	17939	60491	0.30	0.95	0.97
如果蜗牛有爱情	26785	13839	13773	26597	0.52	0.99	1.00
珠海航展	17712	10057	9434	15903	0.59	0.90	0.94
老九门	13965	9055	9045	13417	0.67	0.96	1.00
3名男子假装嫖客专抢卖淫女	26000	8850	7754	21497	0.36	0.83	0.88
妙龄白富美沉沦做冰妹	40241	8490	8490	40240	0.21	1.00	1.00
喜剧总动员	17579	8242	8203	17337	0.47	0.99	1.00
歼20	11974	8222	7694	11012	0.70	0.92	0.94
快乐大本营	20443	7761	7737	20081	0.39	0.98	1.00
胭脂	11417	6616	6608	11212	0.59	0.98	1.00
ppap	9529	6000	4528	6863	0.66	0.72	0.75
诛仙青云志	12077	5343	5310	11519	0.46	0.95	0.99
青云志	8198	4856	4823	7951	0.61	0.97	0.99
真正男子汉第二季	11242	4675	4660	11118	0.42	0.99	1.00
中国式关系	6627	4214	4212	6565	0.64	0.99	1.00
闹洞房	5228	4095	2437	2107	1.16	0.40	0.60
寒山令	7583	4019	3979	7427	0.54	0.98	0.99
法医秦明	11740	3768	3738	11536	0.32	0.98	0.99
歼20珠海航展首亮相	5227	3688	3642	5049	0.72	0.97	0.99
蒙面唱将猜猜猜	8795	3504	3377	8205	0.41	0.93	0.96
小猪佩奇	3570	3438	3358	3452	0.97	0.97	0.98
欢喜密探	6444	3393	3385	6399	0.53	0.99	1.00
幻城	5585	3292	3273	5257	0.62	0.94	0.99
最新电视剧	22906	3267	1803	11903	0.15	0.52	0.55
洪秀柱	7390	3195	2758	5912	0.47	0.80	0.86
微微一笑很倾城	7498	3149	3117	6989	0.45	0.93	0.99
锻刀	4961	3143	3131	4878	0.64	0.98	1.00
PPAP	4719	3077	2421	3319	0.73	0.70	0.79
天天向上	9354	3049	3041	9195	0.33	0.98	1.00
养个孩子不容易	4611	3044	3034	4424	0.69	0.96	1.00
美人为馅	7181	3042	2988	6974	0.43	0.97	0.98
火影忍者	8006	2995	2986	7818	0.38	0.98	1.00
双刺	4681	2986	2982	4537	0.66	0.97	1.00
微微一笑很倾城电视剧	5127	2961	2937	4931	0.60	0.96	0.99
甄嬛传	3760	2903	2903	3679	0.79	0.98	1.00
拼板机	12	2876	2876	12	239.67	1.00	1.00
警匪悬疑电视剧	13876	2696	1536	5413	0.28	0.39	0.57
小别离	3828	2669	2660	3756	0.71	0.98	1.00
海贼王	5140	2650	2610	4986	0.52	0.97	0.98
爱情万万岁	3956	2647	2646	3937	0.67	1.00	1.00
蜂鸟	6120	2635	2627	6065	0.43	0.99	1.00
爸爸去哪儿	8516	2560	2554	8438	0.30	0.99	1.00
彝海结盟 电视剧	2555	2465	2440	2480	0.98	0.97	0.99
太太万岁 电视剧	3453	2426	2426	3424	0.71	0.99	1.00
珠海航展2016	5956	2395	2059	5109	0.40	0.86	0.86
熊出没	4628	2298	2283	4531	0.50	0.98	0.99
金星秀	5323	2270	2248	5212	0.43	0.98	0.99
妻子发现丈夫与陌生女人聊天 被罚带文胸跪榴莲	7401	2261	2261	7401	0.31	1.00	1.00
我的世界	5083	2232	1609	3531	0.46	0.69	0.72
天籁之战	4774	2190	2172	4633	0.47	0.97	0.99
三级片	11870	2186	1904	9998	0.19	0.84	0.87
麻雀电视剧	2642	2172	2171	2574	0.84	0.97	1.00
爱情保卫战	5209	2136	1913	4407	0.43	0.85	0.90
老梁故事汇	6154	2115	1924	5396	0.36	0.88	0.91
遥远的婚约	2668	2089	2071	2512	0.82	0.94	0.99
湄公河大案	3581	2088	2087	3560	0.59	0.99	1.00
青云志 电视剧	2818	2077	2072	2769	0.75	0.98	1.00
暗战危城	4891	2045	2012	4623	0.44	0.95	0.98
郭德纲	4799	2041	1872	4122	0.45	0.86	0.92
画江湖之不良人	4411	2039	2028	4288	0.47	0.97	0.99
琅琊榜	2830	2002	1993	2739	0.73	0.97	1.00
古装历史电视剧	12756	1974	934	4038	0.23	0.32	0.47
真正男子汉	4960	1967	1965	4925	0.40	0.99	1.00
定制幸福	3706	1903	1898	3685	0.52	0.99	1.00
步步惊心丽	4235	1876	1835	4062	0.45	0.96	0.98
双刺电视剧	2551	1863	1859	2507	0.74	0.98	1.00
卓伟直播爆了娱乐圈52个料	9587	1827	1781	9234	0.19	0.96	0.97
鹿鼎记2(神龙教)	5408	1805	1707	5119	0.33	0.95	0.95
炮神	2843	1783	1781	2813	0.63	0.99	1.00
一年级毕业季	4153	1769	1751	4072	0.43	0.98	0.99
电影	6290	1755	1067	3717	0.29	0.59	0.61
军情解码	5442	1750	1739	5326	0.33	0.98	0.99
宋小宝小品搞笑大全	4211	1730	1339	3178	0.42	0.75	0.77
都市家庭电视剧	10636	1712	911	3904	0.23	0.37	0.53
人民检察官	3271	1710	1709	3240	0.53	0.99	1.00
何炅受伤紧急做手术	7058	1688	1688	7058	0.24	1.00	1.00
陈二狗的妖孽人生	4321	1687	1670	4100	0.41	0.95	0.99
傻儿传奇之抗战到底	3200	1668	1653	3057	0.54	0.96	0.99
锻刀电视剧	2405	1626	1624	2391	0.68	0.99	1.00
汪汪队立大功第二季	2479	1621	1596	2452	0.65	0.99	0.98
胭脂电视剧	2358	1612	1612	2334	0.69	0.99	1.00
歼20珠海航展	1774	1609	1521	1651	0.92	0.93	0.95
遥远的距离	2487	1587	1579	2403	0.66	0.97	0.99
湄公河大案电视剧34	2267	1582	1582	2264	0.70	1.00	1.00
爸爸去哪儿第四季	3991	1577	1570	3945	0.40	0.99	1.00
遥远的距离电视剧	2097	1519	1515	2044	0.74	0.97	1.00
美女	59143	1492	1049	57499	0.02	0.97	0.70
欢乐颂	2434	1485	1484	2413	0.62	0.99	1.00
超级飞侠	2710	1474	1458	2628	0.55	0.97	0.99
彝海结盟	1867	1468	1452	1743	0.83	0.93	0.99
猎刃	2474	1461	1459	2462	0.59	1.00	1.00
七月与安生	5731	1461	1401	5345	0.26	0.93	0.96
王者荣耀	3549	1450	1262	3206	0.39	0.90	0.87
锵锵三人行	4484	1424	1410	4415	0.32	0.98	0.99
中国式闹婚惹外媒热议	2391	1410	1388	2224	0.62	0.93	0.98
亲爱的翻译官	1669	1399	1399	1661	0.84	1.00	1.00
我和我的传奇奶奶	1972	1389	1388	1869	0.74	0.95	1.00
快乐大本营最新一期	4268	1374	1371	4195	0.33	0.98	1.00
奥特曼	2829	1365	1145	2326	0.49	0.82	0.84
ppap神曲	2367	1338	1126	1885	0.60	0.80	0.84
镇魂街	3521	1336	1333	3446	0.39	0.98	1.00
今夜百乐门	5674	1331	1267	5354	0.24	0.94	0.95
绝命后卫师	2616	1315	1310	2540	0.52	0.97	1.00
秦时明月之君临天下5	3260	1312	1310	3239	0.40	0.99	1.00
平凡的世界	1591	1307	1303	1566	0.83	0.98	1.00
黄金单身汉	2745	1304	1302	2676	0.49	0.97	1.00
wwe	4052	1290	1197	3626	0.33	0.89	0.93
小米mix	1540	1258	1095	1277	0.86	0.83	0.87
长征	2518	1244	1135	2191	0.52	0.87	0.91
如果蜗牛有爱情电视剧	2323	1244	1240	2284	0.54	0.98	1.00
经典传奇	3241	1237	1119	2735	0.41	0.84	0.90
猪猪侠	2739	1231	1209	2685	0.45	0.98	0.98
妻子的谎言	1672	1230	1229	1651	0.74	0.99	1.00
超星星学园	2381	1216	1215	2372	0.51	1.00	1.00
非诚勿扰	2959	1213	1194	2818	0.42	0.95	0.98
驴得水	3864	1213	1135	3548	0.32	0.92	0.94
天龙八部	2180	1200	1190	2119	0.56	0.97	0.99
琅琊榜电视剧	1447	1193	1193	1436	0.83	0.99	1.00
广场舞	4146	1184	750	2403	0.31	0.58	0.63
少帅	1300	1183	1183	1295	0.91	1.00	1.00
甄嬛传电视剧76集	1328	1174	1174	1324	0.89	1.00	1.00
爱情公寓	2306	1173	1171	2277	0.51	0.99	1.00
盗墓笔记	3293	1169	1166	3225	0.36	0.98	1.00
